,id_material,codigo_material,caracteristicas,tempo_estabilizacao,id_precedencias,fator_inc,descricao_material,unidade_material,centro trabalho
14459,14459,70023606,"{'AGL_REFERENCIA': '8235', 'AGL_ESPESSURA': '10', 'AGL_COMPRIMENTO': '8M', 'AGL_EMBALAGEM': 'MA', 'AGL_LARGURA': '1000', 'AGL_ACABAMENTO': 'PC2'}",3,[14460],[1.0],"RL CC 8235/PC2 1000X10,0-9M MA",ROL,CNMEMBRL
14460,14460,70023607,"{'AGL_ESPESSURA': '10', 'AGL_REFERENCIA': '8235', 'AGL_LARGURA': '1000', 'AGL_EMBALAGEM': 'NE', 'AGL_ACABAMENTO': 'PC2', 'AGL_COMPRIMENTO': '9M'}",3,[3194],[0.1],"RL CC 8235/PC2 1000X10,0-9M NE",ROL,CNMLAMRL
14461,14461,70023608,"{'AGL_LARGURA': '610', 'AGL_REFERENCIA': '8703', 'AGL_ACABAMENTO': 'S21', 'AGL_EMBALAGEM': 'NE', 'AGL_ESPESSURA': '3,0', 'AGL_COMPRIMENTO': '915'}",0,[11865],[0.01755],"PL CC 8703/S21 915X610X3,0 NE",PL,CNMLAMLX
14462,14462,70023609,"{'AGL_REFERENCIA': '8703', 'AGL_EMBALAGEM': '01', 'AGL_COMPRIMENTO': '915', 'AGL_ACABAMENTO': 'S21', 'AGL_LARGURA': '610', 'AGL_ESPESSURA': '3,0'}",0,[14461],[1.0],"PL CC 8703/S21 915X610X3,0 01",PL,CNMEMBPL
14463,14463,70023612,"{'AGL_LARGURA': '1000', 'AGL_EMBALAGEM': 'NE', 'AGL_ACABAMENTO': '2T5', 'AGL_COMPRIMENTO': '1000', 'AGL_REFERENCIA': '1028', 'AGL_ESPESSURA': '1,2'}",0,[1345],[0.008],"PL CR 1028/2T5 1000X1000X1,2 NE",PL,CRMLAMPL
14464,14464,70023624,"{'AGL_EMBALAGEM': '22', 'AGL_ACABAMENTO': '000', 'AGL_ESPESSURA': '2', 'AGL_REFERENCIA': '8244', 'AGL_COMPRIMENTO': '30M', 'AGL_LARGURA': '1000'}",3,[623],[1.0],"RL CC 8244/000 1000X2,0-30M 22",ROL,CNMVSMEB
14465,14465,70023625,"{'AGL_LARGURA': '1000', 'AGL_EMBALAGEM': '07', 'AGL_ACABAMENTO': '000', 'AGL_ESPESSURA': '5', 'AGL_REFERENCIA': '8244', 'AGL_COMPRIMENTO': '15M'}",3,[8999],[1.0],"RL CC 8244/000 1000X5,0-15M 07",ROL,CNMVSMEB
14466,14466,70023626,"{'AGL_REFERENCIA': '8405', 'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '02', 'AGL_COMPRIMENTO': '940', 'AGL_LARGURA': '640', 'AGL_ESPESSURA': '10,5'}",3,[10869],[1.0],"PL CC 8405/000 940X640X10,5 02",PL,CNMEMBPL
14467,14467,70023627,"{'AGL_REFERENCIA': '8405', 'AGL_LARGURA': '640', 'AGL_ESPESSURA': '4', 'AGL_COMPRIMENTO': '940', 'AGL_EMBALAGEM': '02', 'AGL_ACABAMENTO': 'S21'}",3,[14483],[1.0],"PL CC 8405/S21 940X640X4,0 02",PL,CNMEMBPL
14468,14468,70023628,"{'AGL_LARGURA': '45', 'AGL_COMPRIMENTO': '12M', 'AGL_EMBALAGEM': 'NE', 'AGL_REFERENCIA': '1049', 'AGL_ACABAMENTO': 'T02', 'AGL_ESPESSURA': '6'}",0,[8180],[0.05],"RL CR 1049/T02 45X6,0-12M NE",ROL,CRMSERRA
14469,14469,70023629,"{'AGL_LARGURA': '45', 'AGL_EMBALAGEM': '01', 'AGL_ESPESSURA': '6', 'AGL_COMPRIMENTO': '12M', 'AGL_ACABAMENTO': 'T02', 'AGL_REFERENCIA': '1049'}",0,[14468],[1.0],"RL CR 1049/T02 45X6,0-12M 01",ROL,CRMEMBPL
14470,14470,70023630,"{'AGL_ACABAMENTO': 'T02', 'AGL_EMBALAGEM': 'NE', 'AGL_COMPRIMENTO': '12M', 'AGL_REFERENCIA': '1049', 'AGL_ESPESSURA': '6', 'AGL_LARGURA': '55'}",0,[8180],[0.058823529411764705],"RL CR 1049/T02 55X6,0-12M NE",ROL,CRMSERRA
14471,14471,70023631,"{'AGL_LARGURA': '55', 'AGL_COMPRIMENTO': '12M', 'AGL_EMBALAGEM': '01', 'AGL_REFERENCIA': '1049', 'AGL_ESPESSURA': '6', 'AGL_ACABAMENTO': 'T02'}",0,[14470],[1.0],"RL CR 1049/T02 55X6,0-12M 01",ROL,CRMEMBPL
14472,14472,70023632,"{'AGL_REFERENCIA': '1049', 'AGL_EMBALAGEM': 'NE', 'AGL_ESPESSURA': '6,0', 'AGL_COMPRIMENTO': '12M', 'AGL_ACABAMENTO': 'T02', 'AGL_LARGURA': '60'}",0,[8180],[0.06666666666666667],"RL CR 1049/T02 60X6,0-12M NE",ROL,CRMSERRA
14473,14473,70023633,"{'AGL_COMPRIMENTO': '12M', 'AGL_ACABAMENTO': 'T02', 'AGL_EMBALAGEM': '01', 'AGL_LARGURA': '60', 'AGL_ESPESSURA': '6,0', 'AGL_REFERENCIA': '1049'}",0,[14472],[1.0],"RL CR 1049/T02 60X6,0-12M 01",ROL,CRMEMBPL
14474,14474,70023634,"{'AGL_COMPRIMENTO': '150M', 'AGL_EMBALAGEM': '00', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8245', 'AGL_ESPESSURA': '1', 'AGL_LARGURA': '1220'}",3,[14479],[1.0],"RL CC 8245/000 1200X1,0-150M 00",ROL,CNMEMBRL
14475,14475,70023635,"{'AGL_REFERENCIA': '8245', 'AGL_COMPRIMENTO': '75M', 'AGL_EMBALAGEM': '00', 'AGL_ACABAMENTO': '000', 'AGL_ESPESSURA': '2,0', 'AGL_LARGURA': '1200'}",3,[14480],[1.0],"RL CC 8245/000 1200X2,0-75M 00",ROL,CNMVSMEB
14476,14476,70023636,"{'AGL_LARGURA': '1220', 'AGL_EMBALAGEM': '00', 'AGL_ESPESSURA': '3,0', 'AGL_COMPRIMENTO': '50M', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8245'}",3,[14481],[1.0],"RL CC 8245/000 1200X3,0-50M 00",ROL,CNMVSMEB
14477,14477,70023637,"{'AGL_COMPRIMENTO': '60M', 'AGL_LARGURA': '1200', 'AGL_ESPESSURA': '2,5', 'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '00', 'AGL_REFERENCIA': '8245'}",3,[14482],[1.0],"RL CC 8245/000 1200X2,5-60M 00",ROL,CNMVSMEB
