,id_material,codigo_material,caracteristicas,tempo_estabilizacao,id_precedencias,fator_inc,descricao_material,unidade_material,centro trabalho
0,0,32000004,"{'COZ_CALIBRE': '12/17', 'COZ_TIPO': 'T'}",0,[0],[1.0],COZ CHE OUT 12/17 T,KG,GMTRESPA
1,1,33000252,{'CATEGORIA': 'APARA RESPALDADA'},0,[0],[1.0],CT./TRIT N/V - COZ APARA RESPALDADA,KG,GMTRESPA
2,2,40000015,"{'TRIT_ACABAMENTO': 'SECO', 'TRIT_GRANULOMETRIA': '14/25', 'TRIT_EMBALAGEM': 'GRANEL', 'TRIT_PESO_ESPECIFICO': '80-90'}",0,[0],[1.4],TRIT ESP 14/25 80-90 SE GR,KG,GMT3TRIT
3,3,40000027,"{'TRIT_PESO_ESPECIFICO': '80-90', 'TRIT_GRANULOMETRIA': '3/14', 'TRIT_EMBALAGEM': 'GRANEL', 'CERTIFICACAO': 'PEFC', 'TRIT_ACABAMENTO': 'SECO'}",0,[1],[1.6949999999999998],TRIT ESP 3/14 80-90 SE GR PEFC,KG,GMT3TRIT
4,4,40000047,"{'TRIT_ACABAMENTO': 'SECO', 'TRIT_GRANULOMETRIA': '14/25', 'TRIT_EMBALAGEM': 'SA004', 'TRIT_PESO_ESPECIFICO': '80-90'}",0,[2],[1.0],TRIT ESP 14/25 80-90 SE SA004,KG,GMTEMBAL
5,5,40000057,"{'TRIT_EMBALAGEM': 'SA003', 'TRIT_PESO_ESPECIFICO': '80-90', 'TRIT_ACABAMENTO': 'SECO', 'TRIT_GRANULOMETRIA': '3/14'}",0,[],[],TRIT ESP 3/14 80-90 SE SA003,KG,GMTEMBAL
6,6,40000067,"{'TRIT_PESO_ESPECIFICO': '80-90', 'TRIT_GRANULOMETRIA': '4/14', 'TRIT_ACABAMENTO': 'SECO', 'TRIT_EMBALAGEM': 'SA059'}",0,[],[],TRIT ESP 4/14 80-90 SE SA059,KG,GMTEMBSB
7,7,41000304,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/4', 'GRAN_PESO_ESPECIFICO': '65-75'}",0,[],[],GRAN MD 2/4 65-75 SE-FA GR,KG,GMTSECAD
8,8,41000313,"{'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN BD 0,5/1 58-62 SE GR",KG,GMTSECAD
9,9,41000314,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 1/2 58-62 SE GR,KG,GMTSECAD
10,10,41000315,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '65-70'}",0,[],[],GRAN BD 2/3 65-70 SE GR,KG,GMTSECAD
11,11,41000316,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_GRANULOMETRIA': '3/4', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 3/4 65-75 SE GR,KG,GMTSECAD
12,12,41000317,"{'GRAN_PESO_ESPECIFICO': '60-65', 'GRAN_GRANULOMETRIA': '3/5', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 3/5 60-65 SE GR,KG,GMTSECAD
13,13,41000318,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 4/5 65-75 SE GR,KG,GMTSECAD
14,14,41000322,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '75-85', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN MD 0,5/1 75-85 SE GR",KG,GMTSECAD
15,15,41000323,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_GRANULOMETRIA': '0,5/2', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN MD 0,5/2 65-75 SE GR",KG,GMTSECAD
16,16,41000324,"{'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '80-90', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN MD 1/2 80-90 SE GR,KG,GMTSECAD
17,17,41000331,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN AD 0,5/1 100-120 SE GR",KG,GMTSECAD
18,18,41000332,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '0,5/2', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN AD 0,5/2 100-120 SE GR",KG,GMTSECAD
19,19,41000333,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_GRANULOMETRIA': '1/2'}",0,[],[],GRAN AD 1/2 100-120 SE GR,KG,GMTSECAD
20,20,41000334,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '90-120', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN AD 2/3 90-120 SE GR,KG,GMTSECAD
21,21,41000346,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '55-65', 'GRAN_REFERENCIA': 'OSAKA'}",0,[],[],GRAN BD OSAKA 1/2 55-65 SE GR,KG,GMTSECAD
22,22,41000348,"{'GRAN_REFERENCIA': 'G005', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '50-55', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN BD G005 0,5/1 50-55 SE GR",KG,GMTSECAD
23,23,41000350,"{'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_REFERENCIA': 'G003', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '55-60', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD G003 1/2 55-60 SE GR,KG,GMTSECAD
24,24,41000353,"{'GRAN_REFERENCIA': 'ESP', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '50-55', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD ESP 1/2 50-55 SE GR,KG,GMTSECAD
25,25,41000355,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_REFERENCIA': '>S6', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],"GRAN AD M3 1,5/2 70-100 SE GR",KG,GMTSECAD
26,26,41000357,"{'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_REFERENCIA': 'S6', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_GRANULOMETRIA': '1/2'}",0,[],[],GRAN AD S6 1/2 100-120 SE GR,KG,GMTSECAD
27,27,41000358,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '3/7', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '68-72', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 3/7 68-72 SE GR,KG,GMTSECAD
28,28,41000364,"{'GRAN_PESO_ESPECIFICO': '55-65', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 1/2 55-65 SE GR,KG,GMTSECAD
29,29,41000376,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_REFERENCIA': 'PLAT', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_PESO_ESPECIFICO': '45-55', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN BD PLAT 0,5/1 45-55 SE GR",KG,GMTSECAD
30,30,41000379,"{'GRAN_GRANULOMETRIA': '2/5', 'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_EMBALAGEM': 'SA035', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN MD 2/5 65-75 HU SA035,KG,GMTEMBAL
31,31,41000380,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'SA004', 'GRAN_ACABAMENTO': 'HÚMIDO'}",0,[],[],"GRAN BD 0,5/1 58-62 HU SA004",KG,GMTEMBAL
32,32,41000381,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_EMBALAGEM': 'SA003', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_PESO_ESPECIFICO': '58-62'}",0,[],[],"GRAN BD 0,5/1 58-62 HU SA003",KG,GMTEMBAL
33,33,41000382,"{'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_EMBALAGEM': 'SA003', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 1/2 58-62 HU SA003,KG,GMTEMBAL
34,34,41000383,"{'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_EMBALAGEM': 'SA005', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 1/2 58-62 HU SA005,KG,GMTEMBAL
35,35,41000384,"{'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_EMBALAGEM': 'SA036', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 1/2 58-62 HU SA036,KG,GMTEMBAL
36,36,41000385,"{'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_EMBALAGEM': 'SA001', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '65-70'}",0,[],[],GRAN BD 2/3 65-70 HU SA001,KG,GMTEMBAL
37,37,41000386,"{'GRAN_PESO_ESPECIFICO': '65-70', 'GRAN_EMBALAGEM': 'SA004', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 2/3 65-70 HU SA004,KG,GMTEMBAL
38,38,41000387,"{'GRAN_EMBALAGEM': 'SA026', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '65-70', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_ACABAMENTO': 'HÚMIDO'}",0,[],[],GRAN BD 2/3 65-70 HU SA026,KG,GMTEMBAL
39,39,41000388,"{'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_EMBALAGEM': 'SA024', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_PESO_ESPECIFICO': '65-70'}",0,[],[],GRAN BD 2/3 65-70 HU SA024,KG,GMTEMBAL
40,40,41000389,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_PESO_ESPECIFICO': '65-70', 'GRAN_EMBALAGEM': 'SA005'}",0,[],[],GRAN BD 2/3 65-70 HU SA005,KG,GMTEMBAL
41,41,41000390,"{'GRAN_GRANULOMETRIA': '4/5', 'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_EMBALAGEM': 'SA001', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 4/5 65-75 HU SA001,KG,GMTEMBAL
42,42,41000391,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_EMBALAGEM': 'SA004'}",0,[],[],GRAN BD 4/5 65-75 HU SA004,KG,GMTEMBAL
43,43,41000392,"{'GRAN_EMBALAGEM': 'SA003', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_PESO_ESPECIFICO': '65-75'}",0,[],[],GRAN BD 4/5 65-75 HU SA003,KG,GMTEMBAL
44,44,41000393,"{'GRAN_EMBALAGEM': 'SA001', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_REFERENCIA': 'ROND', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '0,5/1'}",0,[8],[1.0],"GRAN BD ROND 0,5/1 58-62 SE SA001",KG,GMTEMBAL
45,45,41000394,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'SA004'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA004",KG,GMTEMBAL
46,46,41000395,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'SA003', 'GRAN_ACABAMENTO': 'SECO'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA003",KG,GMTEMBAL
47,47,41000396,"{'GRAN_EMBALAGEM': 'SA021', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA021",KG,GMTEMBAL
48,48,41000397,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA001', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_PESO_ESPECIFICO': '58-62'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA001",KG,GMTEMBAL
49,49,41000398,"{'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA025'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA025",KG,GMTEMBAL
50,50,41000399,"{'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'SA010', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '58-62'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA010",KG,GMTEMBAL
51,51,41000400,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'SA027', 'GRAN_PESO_ESPECIFICO': '58-62'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA027",KG,GMTEMBAL
52,52,41000401,"{'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'SA031', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA031",KG,GMTEMBAL
53,53,41000402,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'SA037'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA037",KG,GMTEMBAL
54,54,41000403,"{'GRAN_EMBALAGEM': 'SA052', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '0,5/1'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA052",KG,GMTEMBAL
55,55,41000404,"{'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA005', 'GRAN_ACABAMENTO': 'SECO'}",0,[8],[1.0],"GRAN BD 0,5/1 58-62 SE SA005",KG,GMTEMBAL
56,56,41000405,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_EMBALAGEM': 'SA054'}",0,[9],[1.0],GRAN BD 1/2 58-62 SE SA054,KG,GMTEMBAL
57,57,41000406,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'SA005', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[9],[1.0],GRAN BD 1/2 58-62 SE SA005,KG,GMTEMBAL
58,58,41000407,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA004'}",0,[],[],GRAN BD 1/2 58-62 SE SA004,KG,GMTEMBAL
59,59,41000408,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA001', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '58-62'}",0,[],[],GRAN BD 1/2 58-62 SE SA001,KG,GMTEMBAL
60,60,41000409,"{'GRAN_GRANULOMETRIA': '1/2', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'SA020', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '58-62'}",0,[],[],GRAN BD 1/2 58-62 SE SA020,KG,GMTEMBAL
61,61,41000410,"{'GRAN_EMBALAGEM': 'SA003', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],GRAN BD 1/2 58-62 SE SA003,KG,GMTEMBAL
62,62,41000411,"{'GRAN_GRANULOMETRIA': '1/1,5', 'GRAN_PESO_ESPECIFICO': '50-60', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'SA001'}",0,[9],[1.0],"GRAN BD 1/1,5 50-60 SE SA001",KG,GMTEMBAL
63,63,41000412,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'SA001', 'GRAN_PESO_ESPECIFICO': '65-70', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/3'}",0,[],[],GRAN BD 2/3 65-70 SE SA001,KG,GMTEMBAL
64,64,41000413,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '2/4', 'GRAN_EMBALAGEM': 'SACO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 2/4 58-62 SE SA,KG,GMTEMBAL
65,65,41000414,"{'GRAN_EMBALAGEM': 'SA001', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '3/4', 'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_ACABAMENTO': 'SECO'}",0,[11],[1.0],GRAN BD 3/4 65-75 SE SA001,KG,GMTEMBAL
66,66,41000415,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA004', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],GRAN BD 4/5 65-75 SE SA004,KG,GMTEMBAL
67,67,41000416,"{'GRAN_EMBALAGEM': 'SA016', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],GRAN BD 4/5 65-75 SE SA016,KG,GMTEMBAL
68,68,41000417,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_EMBALAGEM': 'SA003', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],GRAN BD 4/5 65-75 SE SA003,KG,GMTEMBAL
69,69,41000418,"{'GRAN_EMBALAGEM': 'SA008', 'GRAN_PESO_ESPECIFICO': '75-85', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN MD 0,5/1 75-85 HU SA008",KG,GMTEMBAL
70,70,41000419,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '75-85', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_EMBALAGEM': 'SA038', 'GRAN_GRANULOMETRIA': '0,5/1'}",0,[],[],"GRAN MD 0,5/1 75-85 HU SA038",KG,GMTEMBAL
71,71,41000420,"{'GRAN_EMBALAGEM': 'SA019', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '75-85', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_ACABAMENTO': 'HÚMIDO'}",0,[],[],"GRAN MD 0,5/1 75-85 HU SA019",KG,GMTEMBAL
72,72,41000421,"{'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_PESO_ESPECIFICO': '75-85', 'GRAN_EMBALAGEM': 'SA003', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN MD 0,5/1 75-85 HU SA003",KG,GMTEMBAL
73,73,41000422,"{'GRAN_GRANULOMETRIA': '0,5/2', 'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'SA002'}",0,[],[],"GRAN MD 0,5/2 65-75 HU SA002",KG,GMTEMBAL
74,74,41000423,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '80-90', 'GRAN_EMBALAGEM': 'SA012', 'GRAN_ACABAMENTO': 'HÚMIDO', 'GRAN_GRANULOMETRIA': '1/2'}",0,[],[],GRAN MD 1/2 80-90 HU SA012,KG,GMTEMBAL
