Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Ship to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CNM - Transformaçã,ABER,ZNPL,3820015632,50,,,1600109449,10/12/2021,11/12/2021,,0,70005671,"PL CC 8057/PTH 1000X500X6,0 NE",208.000,70005524,BL CC 8057/ORT 1000X500X210 NE,6.122,CNM-LAMINADORAS PLACAS,CNMLAMPL,0.474,,0.000
CRM - Transformaçã,ABER,ZRPE,3820015632,10,GÖTZ SERVICE GMBH,LRIBEIRO,1600109484,19/11/2021,19/11/2021,25/10/2021,202147,70002044,"PL CR N650/PTH 1040X632X4,0 01",30.000,70006944,"PL CR N650/PTH 1040X632X4,0 NE",30.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,0.027,DE,0.000
CRM - Transformaçã,ABER,ZRPE,3820015632,10,,,1600109485,19/11/2021,20/11/2021,,0,70006944,"PL CR N650/PTH 1040X632X4,0 NE",30.000,70006943,"PL CR N650/PTH 1270X1040X4,0 NE",15.000,CRM-GUILHOTINA BORRACHA,CRMGUILH,0.075,,0.000
CRM - Transformaçã,ABER,ZRPE,3820015632,10,,,1600109486,19/11/2021,20/11/2021,,0,70006943,"PL CR N650/PTH 1270X1040X4,0 NE",15.000,70001194,BL CR N650/000 1270X1040X152 NE,0.413,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,0.052,,0.000
CRM - Transformaçã,ABER,ZRPE,3820015632,20,GÖTZ SERVICE GMBH,LRIBEIRO,1600109487,19/11/2021,19/11/2021,25/10/2021,202147,70003538,"PL CR N650/PTH 1040X632X8,0 TT",10.000,70006456,"PL CR N650/000 1040X632X8,0 NE",10.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,0.018,DE,0.000
CRM - Transformaçã,ABER,ZRPE,3820015632,20,,,1600109488,19/11/2021,20/11/2021,,0,70006456,"PL CR N650/000 1040X632X8,0 NE",10.000,70006454,"PL CR N650/000 1270X1040X8,0 NE",5.000,CRM-GUILHOTINA BORRACHA,CRMGUILH,0.025,,0.000
CRM - Transformaçã,ABER,ZRPE,3820015632,20,,,1600109489,19/11/2021,20/11/2021,,0,70006454,"PL CR N650/000 1270X1040X8,0 NE",5.000,70001194,BL CR N650/000 1270X1040X152 NE,0.283,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,0.024,,0.000
CNM - Transformaçã,ABER,ZNER,3820015631,10,WESCO SA,CBORGES,1600109342,12/11/2021,12/11/2021,09/11/2021,202146,70002345,"RL CC 8244/000 500X4,0-8M 15",80.000,70006622,"RL CC 8244/000 500X4,0-8M NE",80.000,CNM-EMBALAGEM MR MANUAL,CNMEMBMM,0.396,FR,0.000
CNM - Transformaçã,ABER,ZNMM,3820015631,10,,,1600109343,12/11/2021,12/11/2021,,0,70006622,"RL CC 8244/000 500X4,0-8M NE",80.000,70006617,"RL CC 8244/000 500X4,0 NE",646.480,CNM-REBOBINADOR MR MANUAL,CNMREBMM,1.454,,0.000
CNM - Transformaçã,ABER,ZNRL,3820015631,10,,,1600109344,12/11/2021,13/11/2021,,0,70006617,"RL CC 8244/000 500X4,0 NE",646.480,70002812,CL CC 8244 1000X1100 NE,1.492,CNM-LAMINAGEM MR MANUAL,CNMLAMMM,0.774,,0.000
CNM - Transformaçã,ABER,ZNEP,3820015629,10,LIM FRANCE,CBORGES,1600109340,10/12/2021,11/12/2021,09/11/2021,202151,70011749,"PL CC 8003/000  940X640X3,0 PT",320.000,70000020,"PL CC 8003/000 940X640X3,0 NE",320.000,CNM-EMBALAGEM PLACAS,CNMEMBPL,0.160,FR,0.000
CNM - Transformaçã,ABER,ZNPL,3820015629,10,,,1600109341,10/12/2021,11/12/2021,,0,70000020,"PL CC 8003/000 940X640X3,0 NE",320.000,70001618,BL CC 8003/000 940X640X250 NE,4.030,CNM-LAMINADORAS PLACAS,CNMLAMPL,0.586,,0.000
CNM - Transformaçã,ABER,ZNER,3820015626,10,"CARLOS MAIA DOS SANTOS UNIP., LDA",CBORGES,1600109439,29/10/2021,30/10/2021,25/10/2021,0,70008665,"RL CC 8251/000 1000X1,0-10M 00",30.000,70008664,"RL CC 8251/000 1000X1,0-10M NE",30.000,CNM-EMBALAGEM MR AUTO,CNMEMBMA,0.224,PT,0.000
CNM - Transformaçã,ABER,ZNMA,3820015626,10,,,1600109440,29/10/2021,30/10/2021,,0,70008664,"RL CC 8251/000 1000X1,0-10M NE",30.000,70008666,"RL CC 8251/000 1000X1,0 NE",303.060,CNM-REBOBINADOR MR AUTO,CNMREBMA,0.224,,0.000
CNM - Transformaçã,ABER,ZNRL,3820015626,10,,,1600109441,29/10/2021,30/10/2021,,0,70008666,"RL CC 8251/000 1000X1,0 NE",303.060,70002876,CL CC 8251 1000X1100 NE,0.400,CNM-LAMINADORAS ROLOS,CNMLAMRL,0.470,,0.000
CNM - Transformaçã,ABER,ZNER,3820015626,20,"CARLOS MAIA DOS SANTOS UNIP., LDA",CBORGES,1600109442,29/10/2021,30/10/2021,25/10/2021,0,70007291,"RL CC 8251/000 1000X2,0-10M 02",20.000,70006808,"RL CC 8251/000 1000X2,0-10M NE",20.000,CNM-EMBALAGEM ROLOS,CNMEMBRL,0.571,PT,0.000
CNM - Transformaçã,ABER,ZNRL,3820015626,20,,,1600109443,29/10/2021,30/10/2021,,0,70006808,"RL CC 8251/000 1000X2,0-10M NE",20.000,70002876,CL CC 8251 1000X1100 NE,0.546,CNM-LAMINADORAS ROLOS,CNMLAMRL,0.714,,0.000
CRM - Transformaçã,ABER,ZRER,3820015625,10,SERENA KURK BVBA,CBORGES,1600109363,18/11/2021,19/11/2021,25/10/2021,202147,70004704,"RL CI 5923/000 1000X1,6-15M 05",48.000,70006815,"RL CI 5923/000 1000X1,6 NE",720.000,CRM-VSM,CRMVSMRL,3.000,BE,0.000
CRM - Transformaçã,ABER,ZRRL,3820015625,10,,,1600109364,18/11/2021,19/11/2021,,0,70006815,"RL CI 5923/000 1000X1,6 NE",720.000,70006848,CL CI 5923 1067X950 NE,1.854,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,3.000,,0.000
GMT,ABER,ZGEB,3820015620,10,GRINDBECK,DMEDEIROS,1600109405,26/11/2021,26/11/2021,25/10/2021,202148,41000468,"GRAN MF 5 0,2/0,5 50-70 HU SA003",5 630.000,41000344,"GRAN MF 5 0,2/0,5 50-70 HU GR",5 630.000,GMT-EMBALAGEM SCS/BB,GMTEMBSB,11.260,IN,0.000
CRM - Transformaçã,ABER,ZRRL,3820015619,10,HYUNDAI ELECTRIC & ENERGY SYSTEM,DMEDEIROS,1600109365,10/12/2021,10/12/2021,17/12/2021,202150,70002070,"PL CR S112/S21 300X300X35,0 01",12.000,70007233,"PL CR S112/S21 300X300X35,0 NE",12.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,0.120,KR,0.000
